id,IP_address,timestamp,request_method,url,status_code,response_size
1,74.240.191.221,2024-06-25 00:06:22,DELETE,/index.html?product_id=585&user_id=218 HTTP/1.1,200,1974
2,15.89.35.67,2024-06-24 04:43:22,PUT,/index.html?session_id=def456&session_id=mno345&user_id=709 HTTP/1.1,301,4349
3,158.20.204.46,2024-06-21 14:54:22,GET,/contact.html?session_id=def456 HTTP/1.1,200,4060
4,158.20.204.46,2024-06-21 14:54:22,GET,/contact.html?session_id=def456 HTTP/1.1,200,4060
5,238.189.173.32,2024-06-21 21:33:22,GET,/signup?session_id=abc123&session_id=ghi789 HTTP/1.1,500,2661
6,190.111.164.7,2024-06-26 09:03:22,GET,/products.html?session_id=mno345&user_id=483 HTTP/1.1,302,629
7,196.224.137.79,2024-06-22 09:44:22,POST,/login?session_id=ghi789 HTTP/1.1,200,2661
8,248.187.87.40,2024-06-21 16:46:22,DELETE,/signup?session_id=ghi789 HTTP/1.1,200,734
9,158.20.204.46,2024-06-24 06:15:22,DELETE,/products.html?session_id=mno345&product_id=16 HTTP/1.1,302,3432
10,158.20.204.46,2024-06-24 06:15:22,DELETE,/products.html?session_id=mno345&product_id=16 HTTP/1.1,302,3432
11,46.189.5.214,2024-06-20 12:51:22,PUT,/signup?category=electronics&category=home&user_id=727 HTTP/1.1,302,2831
12,15.189.100.115,2024-06-26 14:46:22,PUT,/index.html?product_id=322&session_id=jkl012&session_id=def456 HTTP/1.1,301,2831
13,160.229.223.17,2024-06-20 19:01:22,POST,/signup?session_id=def456 HTTP/1.1,200,1635
14,147.77.212.177,2024-06-23 14:28:22,GET,/index.html?product_id=50&session_id=mno345&session_id=jkl012 HTTP/1.1,200,3981
15,62.82.168.113,2024-06-25 04:05:22,GET,/faq.html?user_id=963&user_id=701&category=fashion HTTP/1.1,301,2053
16,149.43.222.103,2024-06-21 01:37:22,DELETE,/products.html?user_id=554&category=electronics&user_id=900 HTTP/1.1,301,3508
17,226.49.186.58,2024-06-20 23:08:22,PUT,/login?user_id=964&session_id=abc123 HTTP/1.1,404,3254
18,147.77.212.177,2024-06-26 03:36:22,GET,/contact.html?product_id=566&user_id=900 HTTP/1.1,301,3508
19,167.53.66.101,2024-06-24 05:05:22,GET,/login?session_id=ghi789&user_id=806&session_id=ghi789 HTTP/1.1,200,3414
20,141.199.38.146,2024-06-20 15:07:22,POST,/faq.html?product_id=693 HTTP/1.1,500,1974
21,134.207.168.109,2024-06-20 12:18:22,PUT,/signup?category=home HTTP/1.1,200,1500
22,134.207.168.109,2024-06-20 12:18:22,PUT,/signup?category=home HTTP/1.1,200,1500
23,55.192.232.116,2024-06-23 05:31:22,DELETE,/index.html?user_id=690&category=fashion HTTP/1.1,500,2287
24,57.179.44.69,2024-06-19 23:09:22,GET,/products.html?session_id=ghi789&product_id=783&user_id=239 HTTP/1.1,500,4292
